label,title_word_count,title_char_count,title_avg_word_length,title_exclamation_count,title_question_count,title_digit_count,title_uppercase_word_count,text_word_count,text_char_count,text_avg_word_length,text_exclamation_count,text_question_count,text_digit_count,text_uppercase_word_count
1,18,130,7.222222222222222,0,0,6,7,871,5049,5.796785304247991,2,7,30,6
1,18,145,8.055555555555555,1,0,0,9,34,216,6.352941176470588,0,0,0,0
0,16,105,6.5625,0,0,4,0,1321,8120,6.146858440575322,0,1,34,7
1,16,101,6.3125,0,0,1,1,329,1932,5.872340425531915,0,0,70,16
1,13,78,6.0,1,0,0,1,244,1530,6.270491803278689,1,0,0,13
1,20,109,5.45,0,0,0,7,15,81,5.4,0,0,0,15
1,12,83,6.916666666666667,0,0,0,3,0,1,0.0,0,0,0,0
1,19,128,6.7368421052631575,0,0,0,1,265,1439,5.430188679245283,6,0,0,5
1,9,66,7.333333333333333,0,0,0,0,485,3071,6.331958762886598,4,0,34,7
1,13,80,6.153846153846154,0,0,0,1,690,4679,6.781159420289855,0,1,121,2
0,11,61,5.545454545454546,0,0,0,2,389,2312,5.943444730077121,0,0,10,13
0,12,72,6.0,0,0,0,0,431,2671,6.197215777262181,0,0,9,3
1,13,83,6.384615384615385,0,0,0,3,38,209,5.5,0,0,0,0
0,13,88,6.769230769230769,0,0,0,1,489,3117,6.374233128834356,0,0,18,16
0,9,64,7.111111111111111,0,0,0,0,255,1655,6.490196078431373,0,0,11,6
1,13,75,5.769230769230769,0,0,0,4,605,3439,5.684297520661157,0,1,23,5
0,9,68,7.555555555555555,0,0,0,1,151,947,6.271523178807947,0,0,9,2
1,20,165,8.25,0,0,0,5,1147,7181,6.260680034873583,0,1,21,7
0,12,66,5.5,0,0,0,0,406,2660,6.551724137931035,0,0,10,6
1,6,34,5.666666666666667,0,0,0,0,235,1443,6.140425531914894,1,2,5,1
1,9,51,5.666666666666667,0,0,0,1,493,2893,5.8681541582150105,0,0,49,11
1,12,89,7.416666666666667,0,0,0,1,342,2123,6.207602339181286,2,4,6,1
1,10,89,8.9,0,0,0,2,2452,15512,6.32626427406199,7,6,30,27
1,13,102,7.846153846153846,0,0,0,2,398,2285,5.741206030150754,0,5,2,4
1,11,83,7.545454545454546,1,0,0,1,190,1204,6.336842105263158,0,1,16,1
0,16,82,5.125,0,0,0,1,548,3386,6.178832116788321,0,0,26,8
0,10,60,6.0,0,0,0,0,830,5181,6.242168674698795,0,0,12,4
0,15,86,5.733333333333333,0,0,0,0,868,5431,6.256912442396313,0,0,9,3
1,7,45,6.428571428571429,0,1,0,0,477,2990,6.268343815513627,0,0,17,5
0,10,61,6.1,0,0,0,0,78,459,5.884615384615385,0,0,4,1
0,15,85,5.666666666666667,0,0,0,0,1501,8884,5.918720852764824,0,1,32,5
1,17,97,5.705882352941177,0,0,2,5,309,1901,6.15210355987055,1,0,2,1
0,8,63,7.875,0,0,0,0,704,4438,6.3039772727272725,0,0,12,9
0,12,76,6.333333333333333,0,0,0,0,943,5881,6.2364793213149525,0,0,7,10
0,9,58,6.444444444444445,0,0,1,0,384,2409,6.2734375,0,0,33,3
1,9,70,7.777777777777778,0,1,0,3,28,192,6.857142857142857,1,2,14,3
1,14,68,4.857142857142857,0,0,2,0,865,5480,6.335260115606936,0,0,33,28
1,11,78,7.090909090909091,0,0,0,2,498,2935,5.893574297188755,0,0,15,10
1,11,69,6.2727272727272725,1,0,0,3,344,2076,6.034883720930233,0,0,0,4
1,11,68,6.181818181818182,0,0,1,0,1157,6896,5.960242005185825,2,6,20,14
0,18,103,5.722222222222222,0,0,0,0,898,5475,6.096881959910913,0,0,11,1
1,20,150,7.5,0,0,0,4,469,3101,6.611940298507463,0,2,7,16
0,14,71,5.071428571428571,0,0,0,1,417,2551,6.117505995203837,0,1,8,4
0,16,101,6.3125,0,0,0,0,176,1057,6.005681818181818,0,1,9,3
0,10,49,4.9,0,0,0,0,2893,16477,5.6954718285516766,0,1,194,13
0,9,59,6.555555555555555,0,0,1,0,573,3505,6.116928446771379,0,0,33,1
1,8,42,5.25,0,0,0,1,739,4639,6.2774018944519625,1,0,29,16
0,16,90,5.625,0,0,0,0,1135,6855,6.039647577092511,0,0,80,7
1,3,25,8.333333333333334,0,0,0,0,1160,7392,6.372413793103449,0,12,41,3
0,10,62,6.2,0,0,0,0,915,5502,6.0131147540983605,0,0,52,7
0,14,85,6.071428571428571,0,0,0,0,1257,7309,5.814638027048528,0,1,34,2
0,7,52,7.428571428571429,0,0,0,1,994,6480,6.519114688128773,0,0,18,30
0,12,69,5.75,0,0,0,0,428,2539,5.932242990654205,0,0,11,4
0,13,92,7.076923076923077,0,0,0,0,771,4781,6.2010376134889755,0,2,22,9
1,8,68,8.5,0,0,0,0,355,2201,6.2,0,0,16,3
1,10,86,8.6,0,0,0,1,1394,8395,6.022238163558106,1,4,109,18
0,11,64,5.818181818181818,0,0,0,2,130,851,6.546153846153846,0,0,2,1
